compound_name,chembl_id,target_name,activity_type,activity_value,activity_units,assay_description
epigallocatechin gallate,CHEMBL297453,Human gammaherpesvirus 4,Activation,15.5,%,In vitro assay for EBV activation in Raji cells induced by 12-O-tetradecanoylphorbol-13-acetate (TPA) at the concentration of 1000 (mol ratio / 32 pmol TPA)
catechin,CHEMBL206452,Radical scavenging activity,Activity,32.0,%,Effect on CumOOH-induced oxidative damage of herring sperm DNA assessed as reduction in 8-OHdG level
catechin,CHEMBL206452,Radical scavenging activity,Activity,36.0,%,Effect on glutathione/ferric ion-induced oxidative damage of herring sperm DNA assessed as reduction in 8-OHdG level
catechin,CHEMBL206452,No relevant target,IC50,10000.0,nM,DPPH radical scavenging activity
catechin,CHEMBL206452,Apoptosis regulator Bcl-2,Ki,100000.0,nM,Binding affinity to BCL2
catechin,CHEMBL206452,Radical scavenging activity,IC50,13.5,ug.mL-1,Antioxidant activity assessed as DPPH radical scavenging activity after 30 mins by microplate reader assay
catechin,CHEMBL206452,NON-PROTEIN TARGET,IC50,13.7,ug.mL-1,Antioxidant activity assessed as superoxide radical scavenging activity after 20 mins by NBT reduction assay
catechin,CHEMBL206452,No relevant target,Activity,0.57,mmol/L,ABTS radical scavenging activity assessed as Trolox equivalent antioxidant capacity
catechin,CHEMBL206452,Liver microsomes,IC50,51000000.0,nM,Antioxidant activity in Wistar rat liver microsomes assessed as inhibition of lipid peroxidation by TBA assay
catechin,CHEMBL206452,NON-PROTEIN TARGET,Activity,34.6,uM/L,Antioxidant activity against Cu2+-induced lipid peroxidation in human plasma LDL preincubated for 1 hr before Cu2+ challenge
catechin,CHEMBL206452,NON-PROTEIN TARGET,Activity,156.2,uM/L,Antioxidant activity against AAPH-induced lipid peroxidation in human plasma LDL preincubated for 1 hr before AAPH challenge
caffeine,CHEMBL113,No relevant target,LogP,-2.33,,Partition coefficient (logP) (dodecane)
caffeine,CHEMBL113,No relevant target,LogP,-0.09,,Partition coefficient (logP)
caffeine,CHEMBL113,No relevant target,LogP,-2.3,,Partition coefficient across water-dodecane interface by statistical simulation
caffeine,CHEMBL113,Serum albumin,Log K',0.92,,Binding constant against human serum albumin (HSA)
caffeine,CHEMBL113,ADMET,Vdss,0.61,L.kg-1,Volume of distribution in man (IV dose)
caffeine,CHEMBL113,ADMET,Fu,0.64,,Unbound fraction (plasma)
caffeine,CHEMBL113,ADMET,Fu,0.543,,Unbound fraction (tissues)
caffeine,CHEMBL113,ADMET,eLog D,-0.01,,HPLC capacity factor (k')
caffeine,CHEMBL113,ADMET,Fraction ionised,0.0,,Fraction ionized (pH 7.4)
caffeine,CHEMBL113,No relevant target,Log Pmic,0.52,,Micelle/water partition coefficient (Pmic) of the compound was determined
allicin,CHEMBL359965,Rattus norvegicus,Weight,3.59,mg dl-1,Weight of cholesterol in liver wet tissue after treatment with compound at 20 mg/kg dose for seven days
allicin,CHEMBL359965,Rattus norvegicus,Decrease,27.6,%,Percent decrease in weight of cholesterol in liver wet tissue after treatment with compound at 20 mg/kg dose for seven days
allicin,CHEMBL359965,Rattus norvegicus,Weight,50.25,mg dl-1,Weight of serum cholesterol after treatment with compound at 20 mg/kg dose for seven days
allicin,CHEMBL359965,Rattus norvegicus,Decrease,20.5,%,Percent decrease in weight of serum cholesterol after treatment with compound at 20 mg/kg dose for seven days
allicin,CHEMBL359965,Rattus norvegicus,Weight,9.44,mg dl-1,Weight of triglyceride in liver wet tissue after treatment with compound at 20 mg/kg dose for seven days
allicin,CHEMBL359965,Rattus norvegicus,Decrease,39.6,%,Percent decrease in weight of triglyceride in liver wet tissue after treatment with compound at 20 mg/kg dose for seven days
allicin,CHEMBL359965,HMG-CoA reductase,Ratio,2.07,,Ratio of HMG-CoA reductase to mevalinate
allicin,CHEMBL359965,HMG-CoA reductase,Decrease,27.6,%,Percent decrease in HMG-CoA reductase activity in rat
allicin,CHEMBL359965,Daudi,IC50,35300.0,nM,Antiproliferative activity against human Daudi cells assessed as [methyl-3H]thymidine incorporation after 16 hrs by XTT assay
allicin,CHEMBL359965,HeLa,IC50,103500.0,nM,Antiproliferative activity against human HeLa cells assessed as [methyl-3H]thymidine incorporation after 16 hrs by XTT assay
ajoene,CHEMBL122890,ADMET,Inhibitory concentration,10.0,mM,Effect of compound on gelation time of human serum induced by dithiothreitol (DTT)
ajoene,CHEMBL122890,Glutathione reductase,Inhibition,50.0,%,Percent inhibition of 0.3 uM (E)-ajoene in the presence of NADPH for 15 min at 37 C
ajoene,CHEMBL122890,Trypanothione reductase,Inhibition,50.0,%,Percent inhibition of Trypanothione reductase (TR) with 200 uM (E)-ajoene in the presence of NADPH at 37 C
ajoene,CHEMBL122890,Glutathione reductase,k cat/Km,680.0,M-1 s-1,kcat/Km value determined against human Glutathione reductase (GR)
ajoene,CHEMBL122890,Trypanothione reductase,k cat/Km,340.0,M-1 s-1,kcat/Km value determined against Trypanothione reductase (TR)
ajoene,CHEMBL122890,Trypanothione reductase,Km,2000000.0,nM,Km value determined against Trypanothione reductase (TR)
ajoene,CHEMBL122890,Glutathione reductase,k cat,0.34,s-1,Kcat value determined against human Glutathione reductase (GR) by oxidation of NADPH
ajoene,CHEMBL122890,Glutathione reductase,Km,800000.0,nM,Km value determined against human Glutathione reductase (GR) by oxidation of NADPH
ajoene,CHEMBL122890,Glutathione reductase,k cat/Km,425.0,M-1 s-1,kcat/Km value determined against human Glutathione reductase (GR) by oxidation of NADPH
allyl sulfide,CHEMBL170458,ADMET,Inhibitory concentration,200.0,mM,Effect of compound on gelation time of human serum induced by dithiothreitol (DTT)
allyl sulfide,CHEMBL170458,Transient receptor potential cation channel subfamily A member 1,EC50,254000.0,nM,Agonist activity at human TRPA1 channel expressed in CHO cells assessed as increase in intracellular calcium levels
allyl sulfide,CHEMBL170458,Survival motor neuron protein,Potency,14125.4,nM,PUBCHEM_BIOASSAY: qHTS Assay for Enhancers of SMN2 Splice Variant Expression. (Class of assay: confirmatory) 
gingerol,CHEMBL549472,RBL-2H3,Inhibition,60.0,%,Antiallergic activity in mIgE-DNP and DNP-BSA-stimulated rat RBL2H3 cells assessed as inhibition of beta-hexosaminidase release at 1 uM pretreated before mIgE-DNP challenge measured after 48 hrs relat
gingerol,CHEMBL549472,RBL-2H3,Inhibition,60.0,%,Antiallergic activity in mIgE-DNP and DNP-BSA-stimulated rat RBL2H3 cells assessed as inhibition of beta-hexosaminidase release at 1 uM pretreated before mIgE-DNP challenge measured after 24 hrs relat
gingerol,CHEMBL549472,RBL-2H3,Inhibition,60.0,%,Antiallergic activity in mIgE-DNP and DNP-BSA-stimulated rat RBL2H3 cells assessed as inhibition of beta-hexosaminidase release at 1 uM pretreated before mIgE-DNP challenge measured after 12 hrs relat
shogaol,CHEMBL25948,PC-12,ED50,16.3,uM,Effective dose to protect PC12 cells from beta-Amyloid (BA) insult was determined using MTT reduction assay
shogaol,CHEMBL25948,IMR-32,ED50,24.2,uM,Effective dose to protect IMR-32 cells from beta-Amyloid (BA) insult was determined using MTT reduction assay
shogaol,CHEMBL25948,Cytochrome P450 3A4,IC50,77700.0,nM,Inhibition of human CYP3A4 by radiometric assay
shogaol,CHEMBL25948,Cytochrome P450 2D6,IC50,100000.0,nM,Inhibition of human CYP2D6 by radiometric assay
shogaol,CHEMBL25948,Arachidonate 5-lipoxygenase,IC50,7400.0,nM,Inhibition of 5LOX
shogaol,CHEMBL25948,RBL-2H3,Inhibition,90.0,%,Antiallergic activity in mIgE-DNP and DNP-BSA-stimulated rat RBL2H3 cells assessed as inhibition of beta-hexosaminidase release at 50 uM pretreated before mIgE-DNP challenge measured after 24 to 48 hr
shogaol,CHEMBL25948,RBL-2H3,Inhibition,90.0,%,Antiallergic activity in mIgE-DNP and DNP-BSA-stimulated rat RBL2H3 cells assessed as inhibition of beta-hexosaminidase release at 10 uM pretreated before mIgE-DNP challenge measured after 24 to 48 hr
shogaol,CHEMBL25948,RBL-2H3,Inhibition,90.0,%,Antiallergic activity in mIgE-DNP and DNP-BSA-stimulated rat RBL2H3 cells assessed as inhibition of beta-hexosaminidase release at 100 uM pretreated before mIgE-DNP challenge measured after 48 hrs rel
zingerone,CHEMBL25894,PC-12,ED50,129.0,uM,Effective dose to protect PC12 cells from beta-Amyloid (BA) insult was determined using MTT reduction assay
zingerone,CHEMBL25894,IMR-32,ED50,129.0,uM,Effective dose to protect IMR-32 cells from beta-Amyloid (BA) insult was determined using MTT reduction assay
zingerone,CHEMBL25894,Unchecked,Inhibition,7.6,%,Inhibition of melanogenesis in theophylline-stimulated mouse B16-4A5 cells at 1 uM after 72 hrs
zingerone,CHEMBL25894,Unchecked,Inhibition,3.7,%,Inhibition of melanogenesis in theophylline-stimulated mouse B16-4A5 cells at 3 uM after 72 hrs
zingerone,CHEMBL25894,Unchecked,Inhibition,6.1,%,Inhibition of melanogenesis in theophylline-stimulated mouse B16-4A5 cells at 10 uM after 72 hrs
zingerone,CHEMBL25894,Unchecked,Inhibition,8.3,%,Inhibition of melanogenesis in theophylline-stimulated mouse B16-4A5 cells at 30 uM after 72 hrs
zingerone,CHEMBL25894,Unchecked,Inhibition,15.5,%,Inhibition of melanogenesis in theophylline-stimulated mouse B16-4A5 cells at 100 uM after 72 hrs
zingerone,CHEMBL25894,B16,IC50,100000.0,nM,Inhibition of melanogenesis in theophylline-stimulated mouse B16-4A5 cells after 72 hrs
zingerone,CHEMBL25894,NON-PROTEIN TARGET,Inhibition,-0.5,%,Inhibition of theophylline-stimulated mouse B16-4A5 cell proliferation assessed as cell viability at 1 uM after 68 hrs by WST8 assay
zingerone,CHEMBL25894,NON-PROTEIN TARGET,Inhibition,-2.8,%,Inhibition of theophylline-stimulated mouse B16-4A5 cell proliferation assessed as cell viability at 3 uM after 68 hrs by WST8 assay
echinacoside,CHEMBL393090,Tyrosinase,Inhibition,17.52,%,Inhibition of diphenolase activity of mushroom tyrosinase at 0.042 mM
echinacoside,CHEMBL393090,Unchecked,Inhibition,10.4,%,Inhibition of nitric oxides synthase in mouse J774.1 cells assessed as inhibition of LPS-induced NO release at 100 ug/mL after 48 hrs by Griess assay relative to control
echinacoside,CHEMBL393090,Unchecked,Inhibition,0.0,%,Inhibition of cyclooxygenase in Wistar rat peritoneal leukocytes at 50 ug/mL
echinacoside,CHEMBL393090,Arachidonate 5-lipoxygenase,Inhibition,0.0,%,Inhibition of 5-lipoxygenase in Wistar rat peritoneal leukocytes at 50 ug/mL
echinacoside,CHEMBL393090,Hepatocyte,Inhibition,32.8,%,Hepatoprotective activity in ddY mouse primary cultured hepatocytes assessed as inhibition of D-galactosamine-induced cytotoxicity at 3 ug/mL after 44 hrs by MTT assay
echinacoside,CHEMBL393090,Hepatocyte,Inhibition,46.7,%,Hepatoprotective activity in ddY mouse primary cultured hepatocytes assessed as inhibition of D-galactosamine-induced cytotoxicity at 10 ug/mL after 44 hrs by MTT assay
echinacoside,CHEMBL393090,Hepatocyte,Inhibition,67.7,%,Hepatoprotective activity in ddY mouse primary cultured hepatocytes assessed as inhibition of D-galactosamine-induced cytotoxicity at 30 ug/mL after 44 hrs by MTT assay
echinacoside,CHEMBL393090,Hepatocyte,IC50,10200.0,nM,Hepatoprotective activity in ddY mouse primary cultured hepatocytes assessed as inhibition of D-galactosamine-induced cytotoxicity after 44 hrs by MTT assay
echinacoside,CHEMBL393090,L929,Inhibition,5.2,%,Cytoprotective activity in mouse L929 cells assessed as inhibition of TNF-alpha-induced cytotoxicity at 3 ug/mL after 44 hrs by MTT assay
echinacoside,CHEMBL393090,L929,Inhibition,22.5,%,Cytoprotective activity in mouse L929 cells assessed as inhibition of TNF-alpha-induced cytotoxicity at 10 ug/mL after 44 hrs by MTT assay
